Frame Time,Row,Column,Well,ImageRep,UniqueID,Flask ID,CellCount.BF.Count,Cell Count,Treatment,Day,Note
00:03.5,G,9,G9,1,G9-1,T9,5,500,Test,6,"deleting g and h bad data entirely. replacing just cell letter, number will correctly be matched."
00:04.1,G,9,G9,2,G9-2,T9,16,1600,Test,6,"DILUTED 2:198, so cell count multiplied by 100  "
00:04.7,G,9,G9,3,G9-3,T9,47,4700,Test,6,"DILUTED 2:198, so cell count multiplied by 100  "
00:05.3,G,9,G9,4,G9-4,T9,27,2700,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
00:05.9,G,9,G9,5,G9-5,T9,36,3600,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
00:07.7,G,10,G10,1,G10-1,T10,0,0,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
00:08.3,G,10,G10,2,G10-2,T10,53,5300,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
00:08.9,G,10,G10,3,G10-3,T10,78,7800,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
00:09.5,G,10,G10,4,G10-4,T10,39,3900,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
00:10.2,G,10,G10,5,G10-5,T10,5,500,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
00:11.5,G,11,G11,1,G11-1,T11,8,800,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
00:12.1,G,11,G11,2,G11-2,T11,42,4200,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
00:12.7,G,11,G11,3,G11-3,T11,59,5900,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
00:13.3,G,11,G11,4,G11-4,T11,23,2300,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
00:14.0,G,11,G11,5,G11-5,T11,4,400,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
00:15.7,G,12,G12,1,G12-1,T12,3,300,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
00:16.2,G,12,G12,2,G12-2,T12,13,1300,Test,6,"DILUTED 2:198, so cell count multiplied by 100"
